date,forecast,lower_bound,upper_bound
2020-03-01,180.79867614681342,157.6253574547861,201.66320687420517
2020-03-02,121.57407644664318,99.49215379485645,144.03003364592612
2020-03-03,124.8260641400774,103.59071701841604,146.67334958271664
2020-03-04,126.21369526708932,103.7734849394126,148.22064508906672
2020-03-05,129.1193064187938,107.298423141003,151.5742804437551
2020-03-06,129.43177292505908,109.37069835221001,151.51377966667533
2020-03-07,195.4609642256809,173.82894657157016,218.58096380046402
2020-03-08,192.88104610150836,170.98942595468833,215.16790242343689
2020-03-09,131.56648429186552,107.86872826764774,152.79260823933768
2020-03-10,132.80015400686355,112.24584690099356,154.7263179017539
2020-03-11,132.29119789346163,110.4743613299337,154.75979311900656
2020-03-12,133.4653039110134,111.25080140474094,156.64223344290525
2020-03-13,132.24717778654156,109.63246286798812,154.27798179851072
2020-03-14,196.9744531112375,175.25723432020567,218.66358182880023
2020-03-15,193.3406942182828,171.96397954480693,216.03789193726152
2020-03-16,131.2313448270163,110.55206737887247,152.64835510050924
2020-03-17,131.93201862325833,109.51188465112722,153.87221178971578
2020-03-18,131.14675964250867,108.94925597568388,153.94416751792272
2020-03-19,132.28892348260692,109.78453267510231,153.82820703906404
2020-03-20,131.26442861317042,109.17461275748269,153.00097837936318
2020-03-21,196.38659131930038,176.05698197182696,217.9893331072029
2020-03-22,193.32016669276436,170.837954135798,215.897619807771
2020-03-23,131.91841410581094,108.89907068942503,152.19557505194115
2020-03-24,133.43254736955672,111.81329097908328,153.8298235653203
2020-03-25,133.5311618383814,110.72856480971846,155.2776630698547
2020-03-26,135.59225484485665,114.55432964838933,156.5126560946348
2020-03-27,135.48755618983407,112.74704238489961,156.3514946498253
2020-03-28,201.4983526304793,179.4711915920393,224.77066038246787
2020-03-29,199.26040305529645,178.9813877969112,219.4995835440132
2020-03-30,138.60174115815502,117.94899319513527,161.2903126808474
2020-03-31,140.75270948715024,118.8837792518117,163.14595051542992
2020-04-01,141.36580575794818,118.98863924572952,162.32620211643413
2020-04-02,143.80795195954855,122.80999429830062,164.7631133749014
2020-04-03,143.94490255219182,122.31828735290273,165.3390468117345
2020-04-04,210.0569805219296,186.77053640256048,229.93260749267526
2020-04-05,207.78374777052267,185.5354848807185,229.64797688474843
2020-04-06,146.96142093442188,126.26605310938278,168.9916827224995
2020-04-07,148.83239473136152,126.48835633962987,170.96541655702018
2020-04-08,149.0644751531101,128.66791462707124,170.79753412332036
2020-04-09,151.04245697784947,130.00986006152556,173.741016630734
2020-04-10,150.65178747945012,128.6392500794136,171.90003422860983
2020-04-11,216.19353136989707,193.69600256656827,238.46883211538605
2020-04-12,213.3282699931186,190.23069099273474,235.25623888193834
2020-04-13,151.9127710798974,128.1964202168069,173.18007863767647
2020-04-14,153.20881504004325,130.3158468216323,175.11635120355436
2020-04-15,152.901801485047,133.56320730220088,173.94349267277735
2020-04-16,154.39178885303983,133.01220072263231,176.9527016927731
2020-04-17,153.57672389011904,130.8888461938868,174.9907440549786
2020-04-18,218.76708714884444,197.38202809416237,241.84912989091518
2020-04-19,215.6295941767931,193.53298053377992,236.2672828497063
2020-04-20,154.0237915505378,133.1183602898924,175.16950175800676
2020-04-21,155.21093201242635,133.38325737091694,176.81626486489517
2020-04-22,154.8727467741025,131.6532947936205,177.22534948105917
2020-04-23,156.4027583937001,134.35988837167042,179.14298136040352
2020-04-24,155.6898781689302,134.17247112392513,176.00252951350734
2020-04-25,221.03349851001292,198.62280767798597,243.50887871534604
2020-04-26,218.08770198776895,194.9469067560208,240.20193245521068
2020-04-27,156.69840659804825,135.66825920389005,178.91938901241485
2020-04-28,158.11281094524782,136.36802876642082,181.3051593865524
2020-04-29,157.99873660523076,136.1355629737986,179.77936651025266
2020-04-30,159.73649072506117,136.86612104149384,180.73641256575405
2020-05-01,159.20297365318677,134.31575429120304,181.539817983895
2020-05-02,224.68722457750138,203.12920829920682,246.58163464193302
2020-05-03,221.83501177464876,200.35699782760025,243.72878388298653
2020-05-04,160.48627467743734,138.84141750430962,182.13572303531953
2020-05-05,161.8847722912496,138.3809479449055,183.28080817035422
2020-05-06,161.6975294569333,141.19732562242703,184.51144849276784
2020-05-07,163.30670184844604,141.7254503369141,186.28296152632842
2020-05-08,162.5935858292966,141.33472993174698,186.61624744664363
2020-05-09,227.85397102946195,207.49234166006548,250.89720809143273
2020-05-10,224.7424505287288,203.40938812338456,246.88137512173802
2020-05-11,163.10950660028112,140.14599414509695,183.79594402446676
2020-05-12,164.21074051362345,143.48552614131992,185.8338427884721
2020-05-13,163.72585338667983,141.6657686244854,184.8412304941447
2020-05-14,165.0500161611838,143.51598910830114,187.45120188834764
2020-05-15,164.0773728591538,141.06088601460405,184.6729897801538
2020-05-16,229.11589330974832,207.11708282586218,250.34379839883817
2020-05-17,225.831207984387,204.10620181318546,246.8628817253196
2020-05-18,164.08326018284168,142.42407577933446,185.5297044188879
2020-05-19,165.1351591117414,143.38500915216375,187.20014369818003
2020-05-20,164.67185436839367,144.37369927259223,187.92566432860724
2020-05-21,166.0912806354338,143.3092059275672,187.50772303224898
2020-05-22,165.2877247402453,144.6681519048135,188.60924643566634
2020-05-23,230.56663606768234,206.64883195545627,252.6016525582349
2020-05-24,227.5885145212105,203.80924483160433,248.77371050411065
2020-05-25,166.20570950746082,146.0068093286131,190.0035230645436
2020-05-26,167.6715084845057,146.69522292407888,188.77870210996232
2020-05-27,167.65912748876275,144.8496588179628,191.1678101456567
2020-05-28,169.55324164107537,147.68252093062569,192.1377595857471
